"Description","masalpha","yr","stratum","pop","se_pop"
"Ring-Necked Duck","rndu",1998,15,11759.84,6629.46
"Scaup","scau",1998,15,189805.37,37714.26
"American wigeon","amwi",1998,16,68393.98,14595.32
"Northern pintail","nopi",1998,16,29295.97,15007.08
"Ring-Necked Duck","rndu",1998,16,22137.18,12226.13
"Scaup","scau",1998,16,196163.09,41333.88
"American wigeon","amwi",1998,17,88048.45,34474.08
"Northern pintail","nopi",1998,17,22257.91,4027.60
"Ring-Necked Duck","rndu",1998,17,52325.61,18554.99
"Scaup","scau",1998,17,181505.65,44741.62
"American wigeon","amwi",1998,18,53971.80,19063.71
"Northern pintail","nopi",1998,18,4623.67,4811.20
"Ring-Necked Duck","rndu",1998,18,31444.44,13816.96
"Scaup","scau",1998,18,181114.06,50896.34
"American wigeon","amwi",1998,20,26269.28,6792.09
"Northern pintail","nopi",1998,20,14820.00,4020.32
"Ring-Necked Duck","rndu",1998,20,14101.90,2901.44
"Scaup","scau",1998,20,8623.84,3397.73
"American wigeon","amwi",1998,21,23108.52,8119.48
"Northern pintail","nopi",1998,21,3588.36,2160.08
"Ring-Necked Duck","rndu",1998,21,46391.74,10827.68
"Scaup","scau",1998,21,39531.36,10908.61
"American wigeon","amwi",1998,22,47050.10,10352.25
"Northern pintail","nopi",1998,22,0.00,0.00
"Ring-Necked Duck","rndu",1998,22,33308.70,7615.08
"Scaup","scau",1998,22,29571.11,9351.22
"American wigeon","amwi",1998,23,33996.27,10958.89
"Northern pintail","nopi",1998,23,1583.71,1572.58
"Ring-Necked Duck","rndu",1998,23,83590.04,26240.90
"Scaup","scau",1998,23,28881.94,7417.00
"American wigeon","amwi",1998,24,53560.77,10084.70
"Northern pintail","nopi",1998,24,2581.16,2547.18
"Ring-Necked Duck","rndu",1998,24,117357.26,17825.82
"Scaup","scau",1998,24,106953.36,22415.89
"American wigeon","amwi",1998,25,25218.40,16864.62
"Northern pintail","nopi",1998,25,1204.92,838.95
"Ring-Necked Duck","rndu",1998,25,29654.75,9197.01
"Scaup","scau",1998,25,15583.56,5933.13
"American wigeon","amwi",1998,26,118917.91,24247.97
"Northern pintail","nopi",1998,26,62331.39,17199.10
"Ring-Necked Duck","rndu",1998,26,8142.74,3454.81
"Scaup","scau",1998,26,164013.67,46301.00
"American wigeon","amwi",1998,27,14269.26,5553.84
"Northern pintail","nopi",1998,27,30993.37,13863.23
"Ring-Necked Duck","rndu",1998,27,1118.17,533.65
"Scaup","scau",1998,27,22114.76,11218.21
"American wigeon","amwi",1998,28,8958.31,2290.32
"Northern pintail","nopi",1998,28,36793.99,10370.56
"Ring-Necked Duck","rndu",1998,28,0.00,0.00
"Scaup","scau",1998,28,32927.02,7756.08
"American wigeon","amwi",1998,29,8157.90,3468.61
"Northern pintail","nopi",1998,29,36165.41,20580.58
"Ring-Necked Duck","rndu",1998,29,2657.45,1984.76
"Scaup","scau",1998,29,24049.15,9691.48
"American wigeon","amwi",1998,30,62183.20,17600.39
"Northern pintail","nopi",1998,30,17361.55,7386.31
"Ring-Necked Duck","rndu",1998,30,11973.60,6906.49
"Scaup","scau",1998,30,102828.49,40718.10
"American wigeon","amwi",1998,31,55204.31,26737.15
"Northern pintail","nopi",1998,31,38899.59,16049.04
"Ring-Necked Duck","rndu",1998,31,1926.08,874.03
"Scaup","scau",1998,31,64201.21,26712.95
"American wigeon","amwi",1998,32,114783.31,28077.89
"Northern pintail","nopi",1998,32,348718.03,67817.79
"Ring-Necked Duck","rndu",1998,32,6326.01,2674.92
"Scaup","scau",1998,32,76100.61,20992.01
"American wigeon","amwi",1998,33,12185.37,6600.43
"Northern pintail","nopi",1998,33,50230.39,11525.80
"Ring-Necked Duck","rndu",1998,33,0.00,0.00
"Scaup","scau",1998,33,16621.94,9944.19
"American wigeon","amwi",1998,34,42149.87,11478.03
"Northern pintail","nopi",1998,34,51734.46,23178.65
"Ring-Necked Duck","rndu",1998,34,9141.66,3566.60
"Scaup","scau",1998,34,34740.49,18005.55
"American wigeon","amwi",1998,35,19034.20,4236.41
"Northern pintail","nopi",1998,35,44895.29,10503.59
"Ring-Necked Duck","rndu",1998,35,1403.98,616.66
"Scaup","scau",1998,35,5664.92,2697.78
"American wigeon","amwi",1998,36,1780.83,1662.96
"Northern pintail","nopi",1998,36,0.00,0.00
"Ring-Necked Duck","rndu",1998,36,1838.99,542.39
"Scaup","scau",1998,36,390.53,366.81
"American wigeon","amwi",1998,37,770.99,796.94
"Northern pintail","nopi",1998,37,1651.40,1129.83
"Ring-Necked Duck","rndu",1998,37,5328.22,1633.97
"Scaup","scau",1998,37,25868.76,15056.01
"American wigeon","amwi",1998,38,0.00,0.00
"Northern pintail","nopi",1998,38,4956.85,2109.19
"Ring-Necked Duck","rndu",1998,38,157.56,119.80
"Scaup","scau",1998,38,0.00,0.00
"American wigeon","amwi",1998,39,1532.16,698.68
"Northern pintail","nopi",1998,39,54354.44,24763.60
"Ring-Necked Duck","rndu",1998,39,1643.05,668.63
"Scaup","scau",1998,39,29736.00,14697.99
"American wigeon","amwi",1998,40,4667.21,921.80
"Northern pintail","nopi",1998,40,2726.40,1704.97
"Ring-Necked Duck","rndu",1998,40,2426.66,974.78
"Scaup","scau",1998,40,5582.76,3153.29
"American wigeon","amwi",1998,41,61593.04,14690.61
"Northern pintail","nopi",1998,41,69798.54,15380.10
"Ring-Necked Duck","rndu",1998,41,0.00,0.00
"Scaup","scau",1998,41,12267.07,4106.65
"American wigeon","amwi",1998,42,31353.69,7640.44
"Northern pintail","nopi",1998,42,41103.79,5646.54
"Ring-Necked Duck","rndu",1998,42,2129.86,1206.12
"Scaup","scau",1998,42,1828.02,1143.80
"American wigeon","amwi",1998,43,25515.95,6946.95
"Northern pintail","nopi",1998,43,27603.53,5101.20
"Ring-Necked Duck","rndu",1998,43,0.00,0.00
"Scaup","scau",1998,43,151.39,155.16
"American wigeon","amwi",1998,44,62176.70,16275.39
"Northern pintail","nopi",1998,44,54756.40,10537.65
"Ring-Necked Duck","rndu",1998,44,867.88,838.68
"Scaup","scau",1998,44,14728.44,6655.91
"American wigeon","amwi",1998,45,53438.64,16012.11
"Northern pintail","nopi",1998,45,153917.74,36066.24
"Ring-Necked Duck","rndu",1998,45,3533.02,1583.81
"Scaup","scau",1998,45,86261.63,18253.81
"American wigeon","amwi",1998,46,22053.08,6378.94
"Northern pintail","nopi",1998,46,98255.38,14506.33
"Ring-Necked Duck","rndu",1998,46,3440.14,1195.06
"Scaup","scau",1998,46,61594.56,11713.20
"American wigeon","amwi",1998,47,0.00,0.00
"Northern pintail","nopi",1998,47,1395.83,1065.99
"Ring-Necked Duck","rndu",1998,47,0.00,0.00
"Scaup","scau",1998,47,0.00,0.00
"American wigeon","amwi",1998,48,10880.72,3105.66
"Northern pintail","nopi",1998,48,126157.77,21419.24
"Ring-Necked Duck","rndu",1998,48,5627.96,2591.53
"Scaup","scau",1998,48,56802.27,19401.63
"American wigeon","amwi",1998,49,1518.19,967.60
"Northern pintail","nopi",1998,49,24534.76,9388.04
"Ring-Necked Duck","rndu",1998,49,1907.09,1291.78
"Scaup","scau",1998,49,15851.36,4820.70
"American wigeon","amwi",1998,50,0.00,0.00
"Northern pintail","nopi",1998,50,0.00,0.00
"Ring-Necked Duck","rndu",1998,50,406671.47,63288.74
"Scaup","scau",1998,50,32752.94,26590.67
"American wigeon","amwi",1998,51,16639.36,9125.20
"Northern pintail","nopi",1998,51,0.00,0.00
"Ring-Necked Duck","rndu",1998,51,114829.63,40022.34
"Scaup","scau",1998,51,7830.53,7833.18
"American wigeon","amwi",1998,52,0.00,0.00
"Northern pintail","nopi",1998,52,0.00,0.00
"Ring-Necked Duck","rndu",1998,52,1908.66,1850.52
"Scaup","scau",1998,52,10260.55,6814.56
"American wigeon","amwi",1998,53,0.00,0.00
"Northern pintail","nopi",1998,53,0.00,0.00
"Ring-Necked Duck","rndu",1998,53,0.00,0.00
"Scaup","scau",1998,53,0.00,0.00
"American wigeon","amwi",1998,54,0.00,0.00
"Northern pintail","nopi",1998,54,0.00,0.00
"Ring-Necked Duck","rndu",1998,54,4692.89,2784.00
"Scaup","scau",1998,54,2038.62,1568.33
"American wigeon","amwi",1998,55,0.00,0.00
"Northern pintail","nopi",1998,55,0.00,0.00
"Ring-Necked Duck","rndu",1998,55,0.00,0.00
"Scaup","scau",1998,55,0.00,0.00
"American wigeon","amwi",1998,56,4323.37,2999.22
"Northern pintail","nopi",1998,56,0.00,0.00
"Ring-Necked Duck","rndu",1998,56,575.18,561.76
"Scaup","scau",1998,56,374.79,365.84
"American wigeon","amwi",1998,62,0.00,0.00
"Northern pintail","nopi",1998,62,0.00,0.00
"Ring-Necked Duck","rndu",1998,62,54897.43,19631.19
"Scaup","scau",1998,62,0.00,0.00
"American wigeon","amwi",1998,63,9226.69,3617.58
"Northern pintail","nopi",1998,63,0.00,0.00
"Ring-Necked Duck","rndu",1998,63,10638.48,3170.82
"Scaup","scau",1998,63,0.00,0.00
"American wigeon","amwi",1998,64,0.00,0.00
"Northern pintail","nopi",1998,64,0.00,0.00
"Ring-Necked Duck","rndu",1998,64,2634.54,1815.80
"Scaup","scau",1998,64,0.00,0.00
"American wigeon","amwi",1998,65,0.00,0.00
"Northern pintail","nopi",1998,65,0.00,0.00
"Ring-Necked Duck","rndu",1998,65,1252.02,651.00
"Scaup","scau",1998,65,0.00,0.00
"American wigeon","amwi",1998,66,0.00,0.00
"Northern pintail","nopi",1998,66,1722.29,1807.31
"Ring-Necked Duck","rndu",1998,66,20166.32,4714.13
"Scaup","scau",1998,66,641.00,695.66
"American wigeon","amwi",1998,67,0.00,0.00
"Northern pintail","nopi",1998,67,0.00,0.00
"Ring-Necked Duck","rndu",1998,67,42848.68,19181.98
"Scaup","scau",1998,67,0.00,0.00
"American wigeon","amwi",1998,68,49243.44,21998.74
"Northern pintail","nopi",1998,68,0.00,0.00
"Ring-Necked Duck","rndu",1998,68,66521.22,16018.31
"Scaup","scau",1998,68,3502.69,2628.98
"American wigeon","amwi",1998,69,4143.17,4143.17
"Northern pintail","nopi",1998,69,1930.09,1930.09
"Ring-Necked Duck","rndu",1998,69,40789.30,15213.89
"Scaup","scau",1998,69,2873.37,1885.66
"American wigeon","amwi",1998,75,27298.68,9835.58
"Northern pintail","nopi",1998,75,6450.36,4282.86
"Ring-Necked Duck","rndu",1998,75,24444.22,8308.30
"Scaup","scau",1998,75,43561.35,14823.78
"American wigeon","amwi",1998,76,30291.27,8784.70
"Northern pintail","nopi",1998,76,6865.96,1951.25
"Ring-Necked Duck","rndu",1998,76,7788.04,3139.79
"Scaup","scau",1998,76,37501.68,9688.56
"American wigeon","amwi",1998,77,176510.00,45457.06
"Northern pintail","nopi",1998,77,46051.25,12738.73
"Ring-Necked Duck","rndu",1998,77,140231.26,35082.32
"Scaup","scau",1998,77,120120.34,53740.41
"American wigeon","amwi",1999,1,803.00,395.44
"Northern pintail","nopi",1999,1,2484.90,1744.42
"Ring-Necked Duck","rndu",1999,1,442.20,433.45
"Scaup","scau",1999,1,1501.50,1339.24
"American wigeon","amwi",1999,2,28470.00,14352.99
"Northern pintail","nopi",1999,2,1882.50,889.44
"Ring-Necked Duck","rndu",1999,2,6030.00,4525.56
"Scaup","scau",1999,2,43270.50,8488.99
"American wigeon","amwi",1999,3,69432.95,20320.16
"Northern pintail","nopi",1999,3,31477.68,11666.58
"Ring-Necked Duck","rndu",1999,3,5381.31,2248.89
"Scaup","scau",1999,3,77962.18,29035.09
"American wigeon","amwi",1999,4,195621.75,24519.85
"Northern pintail","nopi",1999,4,59976.45,12938.24
"Ring-Necked Duck","rndu",1999,4,2170.80,1461.76
"Scaup","scau",1999,4,188206.20,63860.13
"American wigeon","amwi",1999,5,69101.13,18297.63
"Northern pintail","nopi",1999,5,59544.04,13905.96
"Ring-Necked Duck","rndu",1999,5,621.27,661.84
"Scaup","scau",1999,5,15470.00,4872.31
"American wigeon","amwi",1999,6,36103.06,11709.24
"Northern pintail","nopi",1999,6,25470.22,6324.03
"Ring-Necked Duck","rndu",1999,6,1236.15,1246.19
"Scaup","scau",1999,6,25184.25,4550.04
"American wigeon","amwi",1999,7,3358.00,1233.10
"Northern pintail","nopi",1999,7,702.80,240.71
"Ring-Necked Duck","rndu",1999,7,1366.80,788.08
"Scaup","scau",1999,7,3676.40,1265.36
"American wigeon","amwi",1999,8,23966.60,7137.39
"Northern pintail","nopi",1999,8,94523.47,22490.13
"Ring-Necked Duck","rndu",1999,8,0.00,0.00
"Scaup","scau",1999,8,148909.98,33509.34
"American wigeon","amwi",1999,9,205073.72,40372.77
"Northern pintail","nopi",1999,9,420003.76,100455.77
"Ring-Necked Duck","rndu",1999,9,1233.83,1243.45
"Scaup","scau",1999,9,271499.03,50428.50
"American wigeon","amwi",1999,10,27456.00,24285.17
"Northern pintail","nopi",1999,10,163975.62,107103.15
"Ring-Necked Duck","rndu",1999,10,0.00,0.00
"Scaup","scau",1999,10,27599.00,16231.51
"American wigeon","amwi",1999,11,136960.00,53635.14
"Northern pintail","nopi",1999,11,139718.59,55728.47
"Ring-Necked Duck","rndu",1999,11,448.06,479.93
"Scaup","scau",1999,11,59586.73,13702.01
"American wigeon","amwi",1999,12,135930.00,67269.80
"Northern pintail","nopi",1999,12,22125.28,14719.45
"Ring-Necked Duck","rndu",1999,12,219.98,207.86
"Scaup","scau",1999,12,93108.21,25730.34
"American wigeon","amwi",1999,13,154083.03,63833.83
"Northern pintail","nopi",1999,13,14585.66,6717.22
"Ring-Necked Duck","rndu",1999,13,6612.90,2541.86
"Scaup","scau",1999,13,73143.55,16272.32
"American wigeon","amwi",1999,14,283420.82,62835.66
"Northern pintail","nopi",1999,14,35264.06,11932.07
"Ring-Necked Duck","rndu",1999,14,873.66,866.57
"Scaup","scau",1999,14,653960.78,115878.61
"American wigeon","amwi",1999,15,75440.69,15384.37
"Northern pintail","nopi",1999,15,24857.20,8910.62
"Ring-Necked Duck","rndu",1999,15,20661.38,4412.03
"Scaup","scau",1999,15,299594.76,41052.27
"American wigeon","amwi",1999,16,15198.66,10894.30
"Northern pintail","nopi",1999,16,9765.32,7496.90
"Ring-Necked Duck","rndu",1999,16,29516.24,23598.04
"Scaup","scau",1999,16,256413.19,44986.69
"American wigeon","amwi",1999,17,130440.50,31283.48
"Northern pintail","nopi",1999,17,40178.38,16846.32
"Ring-Necked Duck","rndu",1999,17,66413.28,19184.31
"Scaup","scau",1999,17,282662.40,77490.69
"American wigeon","amwi",1999,18,53971.80,17508.81
"Northern pintail","nopi",1999,18,13871.01,7006.30
"Ring-Necked Duck","rndu",1999,18,50660.48,13552.10
"Scaup","scau",1999,18,225895.01,63772.63
"American wigeon","amwi",1999,20,26269.28,6794.90
"Northern pintail","nopi",1999,20,5763.33,1490.63
"Ring-Necked Duck","rndu",1999,20,4769.76,2043.23
"Scaup","scau",1999,20,12286.03,3654.13
"American wigeon","amwi",1999,21,33440.60,16514.27
"Northern pintail","nopi",1999,21,1416.20,936.81
"Ring-Necked Duck","rndu",1999,21,86927.06,25981.10
"Scaup","scau",1999,21,78799.17,19432.54
"American wigeon","amwi",1999,22,38228.21,12498.84
"Northern pintail","nopi",1999,22,1369.89,823.59
"Ring-Necked Duck","rndu",1999,22,82053.15,24362.77
"Scaup","scau",1999,22,145306.35,42469.59
"American wigeon","amwi",1999,23,20805.71,10231.91
"Northern pintail","nopi",1999,23,0.00,0.00
"Ring-Necked Duck","rndu",1999,23,132203.75,31362.98
"Scaup","scau",1999,23,127457.79,37183.23
"American wigeon","amwi",1999,24,81175.62,19715.56
"Northern pintail","nopi",1999,24,4726.95,3148.16
"Ring-Necked Duck","rndu",1999,24,81996.39,17416.61
"Scaup","scau",1999,24,143381.24,23413.76
"American wigeon","amwi",1999,25,22743.38,9715.40
"Northern pintail","nopi",1999,25,1246.46,869.65
"Ring-Necked Duck","rndu",1999,25,20513.15,6740.53
"Scaup","scau",1999,25,48246.81,11181.68
"American wigeon","amwi",1999,26,68766.31,13170.10
"Northern pintail","nopi",1999,26,50114.45,12112.23
"Ring-Necked Duck","rndu",1999,26,32779.73,12194.43
"Scaup","scau",1999,26,169630.89,54287.34
"American wigeon","amwi",1999,27,35836.66,5716.64
"Northern pintail","nopi",1999,27,28739.11,6391.09
"Ring-Necked Duck","rndu",1999,27,2377.00,1252.91
"Scaup","scau",1999,27,30341.27,9222.17
"American wigeon","amwi",1999,28,56387.96,28757.36
"Northern pintail","nopi",1999,28,18571.85,4367.89
"Ring-Necked Duck","rndu",1999,28,9292.10,5679.96
"Scaup","scau",1999,28,10413.28,4176.94
"American wigeon","amwi",1999,29,18582.34,5914.45
"Northern pintail","nopi",1999,29,17572.95,4130.00
"Ring-Necked Duck","rndu",1999,29,7532.21,4779.10
"Scaup","scau",1999,29,17837.44,6573.38
"American wigeon","amwi",1999,30,60244.91,28321.55
"Northern pintail","nopi",1999,30,35782.97,11260.29
"Ring-Necked Duck","rndu",1999,30,8972.75,4382.35
"Scaup","scau",1999,30,45577.69,13813.91
"American wigeon","amwi",1999,31,42864.21,18723.02
"Northern pintail","nopi",1999,31,22721.34,12486.42
"Ring-Necked Duck","rndu",1999,31,6928.14,5539.87
"Scaup","scau",1999,31,32025.65,19222.67
"American wigeon","amwi",1999,32,178142.20,51667.03
"Northern pintail","nopi",1999,32,539364.85,77974.89
"Ring-Necked Duck","rndu",1999,32,14712.13,4306.21
"Scaup","scau",1999,32,109222.57,28254.14
"American wigeon","amwi",1999,33,19252.12,8450.19
"Northern pintail","nopi",1999,33,48247.49,10616.75
"Ring-Necked Duck","rndu",1999,33,0.00,0.00
"Scaup","scau",1999,33,30690.53,12368.18
"American wigeon","amwi",1999,34,29395.62,4709.12
"Northern pintail","nopi",1999,34,62626.24,15721.92
"Ring-Necked Duck","rndu",1999,34,18047.69,5221.74
"Scaup","scau",1999,34,50237.74,14729.10
"American wigeon","amwi",1999,35,15627.50,2658.52
"Northern pintail","nopi",1999,35,166488.08,40819.41
"Ring-Necked Duck","rndu",1999,35,8576.42,4063.11
"Scaup","scau",1999,35,19672.51,6918.57
"American wigeon","amwi",1999,36,2046.94,952.42
"Northern pintail","nopi",1999,36,0.00,0.00
"Ring-Necked Duck","rndu",1999,36,1384.97,528.84
"Scaup","scau",1999,36,4095.53,1664.91
"American wigeon","amwi",1999,37,7089.62,3191.50
"Northern pintail","nopi",1999,37,4701.01,2753.91
"Ring-Necked Duck","rndu",1999,37,7195.33,2283.36
"Scaup","scau",1999,37,23715.48,4384.71
"American wigeon","amwi",1999,38,760.00,868.95
"Northern pintail","nopi",1999,38,4031.57,2362.29
"Ring-Necked Duck","rndu",1999,38,0.00,0.00
"Scaup","scau",1999,38,1710.70,1297.23
"American wigeon","amwi",1999,39,391.35,368.52
"Northern pintail","nopi",1999,39,41780.11,9179.05
"Ring-Necked Duck","rndu",1999,39,2736.23,1014.00
"Scaup","scau",1999,39,27112.55,13579.86
"American wigeon","amwi",1999,40,9753.88,4642.08
"Northern pintail","nopi",1999,40,10994.97,3540.90
"Ring-Necked Duck","rndu",1999,40,5279.63,2703.08
"Scaup","scau",1999,40,15734.46,3885.10
"American wigeon","amwi",1999,41,47473.19,11699.55
"Northern pintail","nopi",1999,41,101107.18,29888.82
"Ring-Necked Duck","rndu",1999,41,1916.63,1476.06
"Scaup","scau",1999,41,23042.47,5876.27
"American wigeon","amwi",1999,42,15601.11,5797.24
"Northern pintail","nopi",1999,42,30733.52,7592.84
"Ring-Necked Duck","rndu",1999,42,438.49,440.53
"Scaup","scau",1999,42,5006.99,2034.89
"American wigeon","amwi",1999,43,14493.54,3154.68
"Northern pintail","nopi",1999,43,37724.64,12326.22
"Ring-Necked Duck","rndu",1999,43,733.26,445.48
"Scaup","scau",1999,43,3703.33,2022.73
"American wigeon","amwi",1999,44,26134.37,6301.99
"Northern pintail","nopi",1999,44,37090.62,10891.43
"Ring-Necked Duck","rndu",1999,44,0.00,0.00
"Scaup","scau",1999,44,7022.11,6568.33
"American wigeon","amwi",1999,45,34337.62,12723.96
"Northern pintail","nopi",1999,45,307428.35,123600.97
"Ring-Necked Duck","rndu",1999,45,5841.45,1670.84
"Scaup","scau",1999,45,57295.54,19892.75
"American wigeon","amwi",1999,46,20272.09,5241.91
"Northern pintail","nopi",1999,46,106022.76,16538.05
"Ring-Necked Duck","rndu",1999,46,14027.26,4225.82
"Scaup","scau",1999,46,59777.81,10447.08
"American wigeon","amwi",1999,47,0.00,0.00
"Northern pintail","nopi",1999,47,7881.94,4793.63
"Ring-Necked Duck","rndu",1999,47,0.00,0.00
"Scaup","scau",1999,47,0.00,0.00
"American wigeon","amwi",1999,48,20004.01,5402.33
"Northern pintail","nopi",1999,48,132152.46,28854.67
"Ring-Necked Duck","rndu",1999,48,21522.25,11570.48
"Scaup","scau",1999,48,22911.59,4933.92
"American wigeon","amwi",1999,49,2965.63,1060.05
"Northern pintail","nopi",1999,49,32653.05,10317.25
"Ring-Necked Duck","rndu",1999,49,4204.23,2125.97
"Scaup","scau",1999,49,10368.82,4727.07
"American wigeon","amwi",1999,50,19227.70,8878.85
"Northern pintail","nopi",1999,50,0.00,0.00
"Ring-Necked Duck","rndu",1999,50,140159.49,43907.81
"Scaup","scau",1999,50,1795.06,1746.95
"American wigeon","amwi",1999,51,14262.31,7882.04
"Northern pintail","nopi",1999,51,0.00,0.00
"Ring-Necked Duck","rndu",1999,51,173691.62,68042.86
"Scaup","scau",1999,51,0.00,0.00
"American wigeon","amwi",1999,52,31383.11,33442.52
"Northern pintail","nopi",1999,52,835.41,837.48
"Ring-Necked Duck","rndu",1999,52,13360.63,3901.76
"Scaup","scau",1999,52,0.00,0.00
"American wigeon","amwi",1999,53,0.00,0.00
"Northern pintail","nopi",1999,53,503.50,411.81
"Ring-Necked Duck","rndu",1999,53,862.76,709.21
"Scaup","scau",1999,53,0.00,0.00
"American wigeon","amwi",1999,54,0.00,0.00
"Northern pintail","nopi",1999,54,0.00,0.00
"Ring-Necked Duck","rndu",1999,54,0.00,0.00
"Scaup","scau",1999,54,1496.61,1512.06
"American wigeon","amwi",1999,55,0.00,0.00
"Northern pintail","nopi",1999,55,0.00,0.00
"Ring-Necked Duck","rndu",1999,55,0.00,0.00
"Scaup","scau",1999,55,0.00,0.00
"American wigeon","amwi",1999,56,31420.15,25543.07
"Northern pintail","nopi",1999,56,1027.16,714.27
"Ring-Necked Duck","rndu",1999,56,1760.05,1633.76
"Scaup","scau",1999,56,0.00,0.00
"American wigeon","amwi",1999,62,0.00,0.00
"Northern pintail","nopi",1999,62,521.52,504.75
"Ring-Necked Duck","rndu",1999,62,22936.59,6723.82
"Scaup","scau",1999,62,0.00,0.00
"American wigeon","amwi",1999,63,3723.05,2725.11
"Northern pintail","nopi",1999,63,0.00,0.00
"Ring-Necked Duck","rndu",1999,63,17170.88,4967.29
"Scaup","scau",1999,63,5809.52,5714.19
"American wigeon","amwi",1999,64,0.00,0.00
"Northern pintail","nopi",1999,64,1564.96,866.63
"Ring-Necked Duck","rndu",1999,64,14897.71,8429.78
"Scaup","scau",1999,64,0.00,0.00
"American wigeon","amwi",1999,65,0.00,0.00
"Northern pintail","nopi",1999,65,0.00,0.00
"Ring-Necked Duck","rndu",1999,65,0.00,0.00
"Scaup","scau",1999,65,0.00,0.00
"American wigeon","amwi",1999,66,0.00,0.00
"Northern pintail","nopi",1999,66,1406.94,1010.13
"Ring-Necked Duck","rndu",1999,66,17277.50,3924.24
"Scaup","scau",1999,66,2880.00,1846.42
"American wigeon","amwi",1999,67,0.00,0.00
"Northern pintail","nopi",1999,67,6668.36,4561.09
"Ring-Necked Duck","rndu",1999,67,56369.82,14704.87
"Scaup","scau",1999,67,0.00,0.00
"American wigeon","amwi",1999,68,15481.21,9199.86
"Northern pintail","nopi",1999,68,0.00,0.00
"Ring-Necked Duck","rndu",1999,68,99548.12,23455.83
"Scaup","scau",1999,68,13420.66,12040.17
"American wigeon","amwi",1999,69,24859.05,12514.43
"Northern pintail","nopi",1999,69,13510.67,6872.53
"Ring-Necked Duck","rndu",1999,69,35277.23,14378.39
"Scaup","scau",1999,69,5746.75,2889.16
"American wigeon","amwi",1999,75,30778.74,15876.97
"Northern pintail","nopi",1999,75,11525.35,7142.13
"Ring-Necked Duck","rndu",1999,75,43564.74,10916.88
"Scaup","scau",1999,75,133740.47,34448.53
"American wigeon","amwi",1999,76,62208.44,16236.76
"Northern pintail","nopi",1999,76,8286.23,2516.26
"Ring-Necked Duck","rndu",1999,76,18217.42,8199.00
"Scaup","scau",1999,76,73259.93,25284.15
"American wigeon","amwi",1999,77,213951.52,79213.34
"Northern pintail","nopi",1999,77,18615.24,5397.35
"Ring-Necked Duck","rndu",1999,77,124433.60,31640.15
"Scaup","scau",1999,77,122659.83,53157.15
"American wigeon","amwi",2000,1,13249.50,4745.73
"Northern pintail","nopi",2000,1,6902.50,2592.34
"Ring-Necked Duck","rndu",2000,1,2874.30,1281.58
"Scaup","scau",2000,1,15915.90,4677.79
"American wigeon","amwi",2000,2,19983.75,3602.20
"Northern pintail","nopi",2000,2,3765.00,2395.26
"Ring-Necked Duck","rndu",2000,2,3015.00,1319.98
"Scaup","scau",2000,2,46683.00,8004.82
"American wigeon","amwi",2000,3,146066.36,33450.86
"Northern pintail","nopi",2000,3,93195.15,27294.94
"Ring-Necked Duck","rndu",2000,3,20392.36,7601.00
"Scaup","scau",2000,3,120277.18,65088.88
"American wigeon","amwi",2000,4,380895.75,61102.07
"Northern pintail","nopi",2000,4,353759.40,81380.75
"Ring-Necked Duck","rndu",2000,4,32019.30,13221.56
"Scaup","scau",2000,4,339803.10,71778.66
"American wigeon","amwi",2000,5,62332.04,12808.73
"Northern pintail","nopi",2000,5,96395.40,27182.68
"Ring-Necked Duck","rndu",2000,5,621.27,598.22
"Scaup","scau",2000,5,22783.09,8393.74
"American wigeon","amwi",2000,6,74076.75,16523.79
"Northern pintail","nopi",2000,6,96092.21,22476.43
"Ring-Necked Duck","rndu",2000,6,824.10,785.07
"Scaup","scau",2000,6,48129.90,9448.49
"American wigeon","amwi",2000,7,5402.00,1580.16
"Northern pintail","nopi",2000,7,1204.80,511.22
"Ring-Necked Duck","rndu",2000,7,1849.20,967.19
"Scaup","scau",2000,7,7316.40,3284.02
"American wigeon","amwi",2000,8,49586.08,9771.27
"Northern pintail","nopi",2000,8,85661.90,15000.37
"Ring-Necked Duck","rndu",2000,8,0.00,0.00
"Scaup","scau",2000,8,132502.89,30924.52
"American wigeon","amwi",2000,9,189359.26,25151.61
"Northern pintail","nopi",2000,9,388487.88,32718.90
"Ring-Necked Duck","rndu",2000,9,1645.10,1154.75
"Scaup","scau",2000,9,291244.42,39080.05
"American wigeon","amwi",2000,10,19008.00,7075.81
"Northern pintail","nopi",2000,10,156007.50,110744.49
"Ring-Necked Duck","rndu",2000,10,0.00,0.00
"Scaup","scau",2000,10,51482.75,34534.88
"American wigeon","amwi",2000,11,114704.00,23359.46
"Northern pintail","nopi",2000,11,129860.10,21469.32
"Ring-Necked Duck","rndu",2000,11,1792.25,966.06
"Scaup","scau",2000,11,85400.48,16282.02
"American wigeon","amwi",2000,12,66605.70,17243.39
"Northern pintail","nopi",2000,12,40902.67,6931.54
"Ring-Necked Duck","rndu",2000,12,439.96,415.73
"Scaup","scau",2000,12,57644.38,12076.33
"American wigeon","amwi",2000,13,91939.05,28713.94
"Northern pintail","nopi",2000,13,22607.78,3726.18
"Ring-Necked Duck","rndu",2000,13,19287.62,8216.67
"Scaup","scau",2000,13,52110.85,8876.11
"American wigeon","amwi",2000,14,224037.41,52534.90
"Northern pintail","nopi",2000,14,86714.90,19844.71
"Ring-Necked Duck","rndu",2000,14,58535.82,12918.51
"Scaup","scau",2000,14,592247.59,94431.17
